시군명,사업장명,인허가일자,영업상태명,입소정원(명),자격소유인원수(명),총인원수(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
고양시,고양시덕양행신장애인주간보호센터,20170118,운영중,30,,,,경기도 고양시 덕양구 행신동,,37.6157552212,126.8332252487
고양시,원당사회복지관 무지개장애인주간보호센터,20070215,운영중,15,0,4,경기도 고양시 덕양구 호국로716번길 13-11,경기도 고양시 덕양구 성사동 736-2번지,10469,37.6515503479,126.8328945520
고양시,원당주간보호센터,20040302,운영중,20,3,4,경기도 고양시 덕양구 호국로 809,경기도 고양시 덕양구 주교동 620-2번지,10462,37.6579357241,126.8374810707
고양시,고양시장애인종합복지관부설주간보호센터,20040402,운영중,20,3,4,경기도 고양시 일산서구 탄현로 139,경기도 고양시 일산서구 탄현동 111-1번지,10239,37.7031209843,126.7648528403
고양시,홀트장애인주간보호센터,20030219,운영중,18,3,4,경기도 고양시 일산서구 탄현로 42,경기도 고양시 일산서구 탄현동 41-1번지,10249,37.6956768972,126.7728475550
고양시,고양시장애인주간보호센터,19980801,운영중,120,0,28,경기도 고양시 일산서구 고양대로672번길 15-7,경기도 고양시 일산서구 일산동 627-4번지,10353,37.6834564837,126.7711281298
고양시,기쁨터,20040227,운영중,30,3,4,,경기도 고양시 일산동구 식사동,,37.6810694048,126.8172172493
고양시,고양시장애인부모회주간보호시설,20010413,운영중,17,3,4,경기도 고양시 일산동구 강송로88번길 8-12,경기도 고양시 일산동구 백석동 1167-4번지,10445,37.6473537409,126.7896873513
고양시,홀트장애인주간보호시설,20030219,휴업 등,15,3,4,경기도 고양시 일산서구 탄현로 42,경기도 고양시 일산서구 탄현동 41-1번지,10249,37.6956768972,126.7728475550
과천시,다누리센터,20110601,운영중,20,4,4,,경기도 과천시 문원동,,37.4274339713,127.0196028143
과천시,사랑의동산,20060613,운영중,15,4,3,경기도 과천시 희망4길 57,경기도 과천시 중앙동 17-4번지,13805,37.4339668578,126.9912554300
과천시,사랑의 동산,20060613,운영중,17,4,3,경기도 과천시 희망4길 57,경기도 과천시 중앙동 17-4번지,13805,37.4339668578,126.9912554300
광명시,광명사랑터,20180620,운영중,12,4,3,경기도 광명시 광명로 823,경기도 광명시 광명동 현대타운 304호,14294,37.4728740351,126.8509353567
광명시,광명장애인종합복지관 주간보호시설,20090123,운영중,16,4,8,경기도 광명시 목감로 120,경기도 광명시 광명동 164-2번지,14284,37.4787341551,126.8468195650
광주시,광주시 장애인 주간보호시설(북부권),19990126,운영중,30,4,4,경기도 광주시 사기막길95번길 59,경기도 광주시 탄벌동 674-1번지,12748,37.4136920008,127.2257594918
광주시,할렐루야 광주 주간보호센터,20161017,운영중,15,,,,경기도 광주시 남한산성면 광지원리,12704,37.4660195503,127.2453683148
광주시,광주시장애인주간보호시설,20120102,운영중,30,3,3,,경기도 광주시 곤지암읍 연곡리,,37.3780488875,127.3925038347
