시군명,사업장명,인허가일자,영업상태명,입소정원(명),자격소유인원수(명),총인원수(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,성가정의 집,20080804,운영중,29,6,14,경기도 가평군 조종면 연인산로474번길 139-37,경기도 가평군 하면 마일리 296-14번지,12433,37.8443452194,127.3873433409
가평군,가평꽃동네 희망의집,19950327,운영중,330,0,113,,경기도 가평군 하면 하판리 가평꽃동네 희망의 집,12432,37.8655601834,127.3681681908
가평군,작은예수회현리요셉의집,19900419,운영중,55,1,8,경기도 가평군 조종면 연인산로474번길 140-57,경기도 가평군 하면 마일리 102-2번지,12433,37.8423129876,127.3916498953
고양시,해밀,20091228,운영중,30,3,11,경기도 고양시 일산동구 견달산로225번길 21-83,경기도 고양시 일산동구 식사동 290-9번지,10317,37.6857684099,126.8146774017
고양시,홀트일산요양원,19990101,운영중,155,39,97,경기도 고양시 일산서구 탄현로 42,경기도 고양시 일산서구 탄현동 41-1번지,10249,37.6956768972,126.7728475550
광주시,품안의 집,19931227,운영중,81,23,39,,경기도 광주시 곤지암읍,,37.3666813901,127.3832108995
군포시,양지의집,20031027,운영중,31,9,22,,경기도 군포시 당정동,,37.3576249554,126.9568067760
김포시,가연마을,20080215,운영중,70,20,44,경기도 김포시 월곶면 용강로37번길 76-25,경기도 김포시 월곶면 고막리 382번지,10021,37.7237826218,126.5527579848
김포시,소망의 집,20111219,운영중,15,1,6,,경기도 김포시 양촌읍 구래리,,37.6499864448,126.6194132674
남양주시,참누리요양원,19890201,운영중,,,,,경기도 남양주시 수동면,,37.7388442602,127.2780327396
남양주시,송천한마음의 집,20041210,운영중,0,12,33,,경기도 남양주시 수동면 내방리 산 37-16번지,12024,37.7641819207,127.2918813984
남양주시,호세아동산,20061212,운영중,30,5,21,경기도 남양주시 수동면 소래비로 470-19,경기도 남양주시 수동면 송천리 452-1번지,12034,37.6876614541,127.3274097629
남양주시,참누리,19890202,운영중,70,29,41,경기도 남양주시 수동면 비룡로972번길 17,경기도 남양주시 수동면 입석리 522-2번지,12029,37.7209407048,127.3148515527
부천시,나눔의집,20091230,운영중,10,1,0,경기도 부천시 성주로 263-7,경기도 부천시 심곡본동 677-7번지,14713,37.4820718743,126.7816330615
부천시,부천혜림요양원,19910412,운영중,40,24,27,경기도 부천시 경인로304번길 26,경기도 부천시 심곡본동 523-99번지,14753,37.4809045164,126.7886574678
부천시,로뎀나무,20060314,운영중,29,2,0,경기도 부천시 성주로 132,경기도 부천시 송내동 612-26번지,14746,37.4792310236,126.7708219333
성남시,소망재활원,19840401,운영중,80,30,54,경기도 성남시 중원구 산성대로476번길 12,경기도 성남시 중원구 금광동 3957번지,13161,37.4517456241,127.1617023334
시흥시,비젼하우스,20090701,운영중,40,,,,경기도 시흥시 군자동 비젼하우스,,37.3899557486,126.7512117839
