City,Name,Apr_Date,State,Cap,Cert_Mem,Max_Cap,Addr_Road,Addr_NumBase,ZipNum,WGS84Lati,WGS84Longi
가평군,가평군 장애인복지관,20111228,운영중,0,10,3,,경기도 가평군 가평읍 읍내리,,37.8357777189,127.5108932167
고양시,고양시장애인종합복지관,20040402,운영중,0,21,36,경기도 고양시 일산서구 탄현로 139,경기도 고양시 일산서구 탄현동 111-1번지,10239,37.7031209843,126.7648528403
과천시,과천시장애인복지관,20110601,운영중,200,14,46,경기도 과천시 문원로 40,경기도 과천시 문원동 31-3번지,13828,37.4287776454,127.0019781100
광명시,광명장애인종합복지관,20001019,운영중,80,30,37,경기도 광명시 목감로 120,경기도 광명시 광명동 164-2번지,14284,37.4787341551,126.8468195650
광주시,성분도복지관,20010608,운영중,0,,,,경기도 광주시 도척면,,37.3118402609,127.3209481287
구리시,구리시장애인종합복지관,20000811,운영중,0,28,33,경기도 구리시 이문안로 86-1,경기도 구리시 수택동 851-1번지,11940,37.5914519737,127.1410065815
군포시,군포시장애인종합복지관,19991130,운영중,0,26,34,경기도 군포시 청백리길 18,경기도 군포시 금정동 844-1번지,15829,37.3630020119,126.9341254758
김포시,김포시 장애인복지관,20130102,운영중,0,36,38,,경기도 김포시 장기동,,37.6413930999,126.6802549862
남양주시,남양주시장애인복지관,20060622,운영중,0,33,36,경기도 남양주시 홍유릉로 273,경기도 남양주시 금곡동 615-10번지,12236,37.6268389866,127.2003626557
동두천시,동두천시장애인종합복지관,20060907,운영중,0,0,26,경기도 동두천시 상패로 64,경기도 동두천시 상패동 54번지,11338,37.9071016120,127.0479217063
부천시,부천시장애인종합복지관,19911023,운영중,0,,47,경기도 부천시 역곡로 367,경기도 부천시 작동 57번지,14471,37.5174553882,126.8136530580
성남시,성남시장애인종합복지관,19941206,운영중,100,0,28,,경기도 성남시 중원구 상대원동,,37.4361921349,127.1633417439
성남시,성남시 한마음복지관,20110527,운영중,1000,20,35,,경기도 성남시 분당구 야탑동,,37.4160720539,127.1263829614
시흥시,시흥장애인종합복지관,20040317,운영중,0,14,21,경기도 시흥시 정왕대로233번길 27-1,경기도 시흥시 정왕동 1800-9번지,15055,37.3475321894,126.7410833109
시흥시,시흥장애인종합복지관 부설 장애인재가복지봉사센터,20050101,운영중,0,3,,경기도 시흥시 정왕대로233번길 27-1,경기도 시흥시 정왕동 1800-9번지,15055,37.3475321894,126.7410833109
안산시,안산시장애인복지관,19990421,운영중,400,25,27,경기도 안산시 단원구 원초로 80,경기도 안산시 단원구 초지동 604-10번지,15387,37.3258361760,126.8064624309
안산시,안산시상록장애인복지관,20131028,운영중,400,30,32,,경기도 안산시 상록구 사동 안산시상록장애인복지관,,37.2986632641,126.8308158801
안성시,안성시장애인복지관,20171024,운영중,200,,,,경기도 안성시 현수동 안성시장애인복지관,17596,36.9947196201,127.2847763690
안양시,안양시관악장애인종합복지관,19950526,운영중,0,,45,경기도 안양시 만안구 경수대로 1132,경기도 안양시 만안구 안양동 22-1번지,13914,37.4124408891,126.9207062940
안양시,안양시수리장애인종합복지관,20031105,운영중,0,,63,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안구 안양동 477-1번지,14091,37.3847482400,126.9272291195
양평군,양평군 장애인복지관,20140328,운영중,300,,1,,경기도 양평군 양평읍 공흥리 양평군 장애인복지관,,37.4963749378,127.5009410395
여주시,여주시장애인복지관,20100503,운영중,100,11,,,경기도 여주시 하동 여주시장애인복지관,,37.3019364498,127.6354543405
오산시,오산장애인종합복지관,20160601,운영중,0,,,,경기도 오산시 금암동,,37.1781765187,127.0478119910
용인시,용인시수지장애인복지관,20120213,운영중,0,10,2,,경기도 용인시 수지구 풍덕천동,,37.3240316619,127.0876464761
용인시,용인시기흥장애인복지관,20051014,운영중,0,0,47,경기도 용인시 기흥구 용구대로2469번길 94,경기도 용인시 기흥구 보정동 1097-8번지,16905,37.3152053856,127.1056862559
용인시,용인시처인장애인복지관,20050617,운영중,0,0,41,경기도 용인시 처인구 경안천로 318,경기도 용인시 처인구 고림동 954-1번지,17038,37.2593245080,127.2189235473
의왕시,희망나래장애인복지관,20110601,운영중,0,21,26,,경기도 의왕시 고천동 희망나래장애인복지관,,37.3481642506,127.0039879921
의정부시,경기도시각장애인복지관,20130227,운영중,0,20,24,,경기도 의정부시 신곡동,,37.7478075662,127.0642546015
의정부시,의정부시장애인종합복지관,20040722,운영중,300,17,30,경기도 의정부시 용민로 160,경기도 의정부시 민락동 735-17번지,11804,37.7436003276,127.0921163057
이천시,이천시장애인종합복지관,20090622,운영중,0,0,20,,경기도 이천시 중리동 이천시장애인종합복지관,,37.2648420458,127.4325269226
파주시,파주시장애인종합복지관,19980422,운영중,0,0,23,경기도 파주시 법원읍 술이홀로1333번길 63,경기도 파주시 법원읍 금곡리 428-3번지,10806,37.8841575639,126.8754432654
평택시,에바다장애인종합복지관,19950101,운영중,0,22,30,,경기도 평택시 팽성읍 남산리,,36.9657894585,127.0645533046
평택시,평택북부장애인복지관,20130111,운영중,0,13,13,,경기도 평택시 서정동,,37.0698766766,127.0541012531
하남시,하남시장애인복지관,20170927,운영중,1000,,,,경기도 하남시 풍산동,,37.5712996713,127.1968087466
화성시,나래울 장애인복지관(나래울 복합복지타운),20110111,운영중,0,13,9,경기도 화성시 여울로2길 33,경기도 화성시 능동 1130번지,18427,37.2051071381,127.0515565464

