연번,기관명,급여종류,설립구분,지정일자,기관주소,기관전화번호,FAX번호,데이터기준일자
1,e-포근한 노인센터,"방문요양,방문목욕,방문간호",개인,20080605,"서울특별시 강북구 덕릉로 115, 4층 (번동)",02-989-9987,02-989-9967,20180717
2,이원건강의료기,복지용구제공사업소,개인,20080714,서울특별시 강북구 삼각산로 59 (수유동),02-992-2175,02-996-2877,20180717
3,효노인복지센터,방문목욕,개인,20080801,"서울특별시 강북구 오현로 194, 2층 (번동)",02-946-1313,02-986-0694,20180717
4,e-고운손재가센터,"방문요양,방문목욕",개인,20080808,"서울특별시 강북구 월계로3길 28 (미아동,3층)",02-905-2220,02-985-1133,20180717
5,새힘노인복지센터,방문요양,개인,20080811,"서울특별시 강북구 솔매로31길 4 (미아동,2층)",02-980-5399,02-984-7637,20180717
6,백운재가요양센터,"방문요양,방문목욕",개인,20080819,서울특별시 강북구 삼양로122길 5 (수유동),02-993-9356,02-993-9353,20180717
7,대은가정봉사원파견센터,방문목욕,개인,20080922,"서울특별시 강북구 인수봉로60가길 32, 101 (수유동, 대성아트빌)",02-985-5534,02-985-0141,20180717
8,참세상강북재가노인요양기관,"방문요양,방문목욕",개인,20081216,"서울특별시 강북구 인수봉로 291, 4층 (수유동, 강북장애인회관)",02-980-5292,02-980-1986,20180717
9,강북다솜재가노인복지센터,"방문요양,방문목욕",개인,20081222,서울특별시 강북구 덕릉로41길 85 (번동),02-6405-2112,02-6670-2835,20180717
10,열린방문요양센터,"방문요양,방문목욕,방문간호",개인,20081223,"서울특별시 강북구 삼각산로 143-1, 상가B동 216호 (수유동, 수유벽산아파트)",02-956-9560,02-956-9561,20180717
11,한마음재가방문요양센터,"방문요양,방문목욕",개인,20090430,서울특별시 강북구 도봉로 88 (미아동),02-6497-1399,02-903-4138,20180717
12,(A)비지팅엔젤스 강북지점,"방문요양,방문목욕",개인,20090706,"서울특별시 강북구 덕릉로40길 14, 2층 (번동)",02-994-5008,02-994-5009,20180717
13,하늘사랑복지센터,"방문요양,방문목욕",개인,20090819,"서울특별시 강북구 솔샘로 291-1 (미아동, 1층)",02-987-8204,02-987-8205,20180717
