시설명,주소,전화번호,데이터기준일자
금천수화통역센터,서울특별시 금천구 시흥대로147길 30-15(독산동)2층,02-891-8301,2018-11-16
기쁨나무자립작업장,서울특별시 금천구 독산1동 1011-7호,02-893-9630,2018-11-16
임마누엘시흥공동체,서울특별시 금천구 시흥4동 3-86,02-808-3831,2018-11-16
임마누엘독산공동체,서울특별시 금천구 독산4동 1016-9,02-868-3831,2018-11-16
관음의집,서울특별시 금천구 시흥5동 835-26 201호,02-808-7373,2018-11-16
지장의집,서울특별시 금천구 시흥5동 835-26 301호,02-803-9050,2018-11-16
EM실천 장애인보호작업시설,서울특별시 금천구 가산동 493-6 대륭테크노타운 6차 1004호,02-875-9744,2018-11-16
산성기도의집,서울특별시 금천구 시흥3동 965번지,02-808-8493,2018-11-16
볕바라기주간보호센터,서울특별시 금천구 금하로18길 8-1(시흥동),02-866-1314,2018-11-16
주간보호센터청락원,서울특별시 금천구 금하로29길 36,02-806-1374,2018-11-16
금천단기보호센터,서울특별시 금천구 시흥대로 59길 19(시흥동),02-809-9194,2018-11-16
하누리주간보호센터,서울특별시 금천구 시흥대로2길 57(시흥동),02-802-8024,2018-11-16
금천장애인종합복지관,서울특별시 금천구 독산1동 1011-1,02-6912-8000,2018-11-16
기쁨이싹트는나무장애인공동생활가정,서울특별시 금천구 시흥대로80길 19-11(독산동),02-893-9630,2018-11-16
소울터보호작업장,"서울특별시 금천구 범안로 1138(가산동), 603호",02-838-4567,2018-11-16
금천구립장애인보호작업장,서울특별시 금천구 한내로 69-15(독산동) 2층,02-897-9747,2018-11-16
보라매보호작업장,"서울특별시 금천구 가산디지털2로 136(가산동), 302호",070-4418-9277,2018-11-16
SG블루웰(직업적응훈련시설),서울특별시 금천구 두산로70 현대지식산업센터 B동 419,02-6912-8080,2018-11-16
