시설구분,시설명,시설장,소재지,전화번호,팩스,위탁(운영)법인,이용/수용인원,데이터기준일자
노인종합복지관,송파노인종합복지관,이경수,서울특별시 송파구 백제고분로 32길 41 (삼전동),02-2203-9400,02-2203-9422,청암,4000,2019-02-22
노인복지센터,송파실벗뜨락,공석,서울특별시 송파구 백제고분로 42길 5 (송파동),02-413-9999,02-413-9927,송파구 시설관리공단,650,2019-02-22
노인복지센터,송파복지센터,장지연,서울특별시 송파구 충민로 184 (장지동),02-409-1616,02-409-1618,조계종,350,2019-02-22
노인요양시설,구립송파노인요양센터,장지연,서울특별시 송파구 충민로 184 (장지동) ,02-415-0056,02-415-3325,조계종,130,2019-02-22
노인요양시설,시립송파노인전문요양원,이구호,서울특별시 송파구 백제고분로 32길 37 (삼전동) ,02-2202-8733,02-2202-8745,천태종,93,2019-02-22
노인요양시설,청암노인요양원,이성희,서울특별시 송파구 성내천로 193 (마천동),02-406-2344,02-443-6780,청암,70,2019-02-22
노인요양시설,굿모닝케어노인전문요양원,김향춘,서울특별시 송파구 성내천로 16길 17 (오금동) ,02-401-5075,02-403-0691,개인,49,2019-02-22
노인요양시설,송파치매케어센터,박신향,서울특별시 송파구 백제고분로 32길 41 (삼전동),02-2203-9401,02-2203-9421,청암,28,2019-02-22
노인요양시설,보눔케어요양원,유진숙,서울특별시 송파구 가락로27(석촌동),02-413-3275,02-413-3287,개인,99,2019-02-22
노인요양시설,경복궁요양센터,주현태,서울특별시 송파구 성내천로47길 40(마천동),02-408-0048,02-408-0049,개인,46,2019-02-22
노인요양공동생활가정,송파그린요양원,김광섭,"서울특별시 송파구 성내천로 208 (마천동, 신안빌딩 3층) ",02-408-4070,02-408-4075,개인,9,2019-02-22
노인요양공동생활가정,송파그린요양원 2,문소영,"서울특별시 송파구 성내천로 208 (마천동, 신안빌딩 2층) ",02-408-4070,02-408-4075,개인,9,2019-02-22
노인요양공동생활가정,수실버간호센터,이천우,서울특별시 송파구 성내천로 212 (마천동),02-448-8400,02-448-8401,개인,9,2019-02-22
노인요양공동생활가정,수실버노인요양센터,유지원,서울특별시 송파구 성내천로 212 (마천동),02-448-8400,02-448-8401,개인,9,2019-02-22
노인요양공동생활가정,은빛요양공동생활가정1,박미선,서울특별시 송파구 거마로 99 (마천동) ,02-402-1005,02-402-1240,개인,9,2019-02-22
노인요양공동생활가정,은빛요양공동생활가정2,강정순,서울특별시 송파구 거마로 99 (마천동) ,02-402-1005,02-402-1240,개인,9,2019-02-22
노인요양공동생활가정,은빛요양공동생활가정3,강정숙,서울특별시 송파구 거마로 99 (마천동) ,02-402-1005,02-402-1240,개인,9,2019-02-22
노인요양공동생활가정,은빛요양공동생활가정4,진난주,서울특별시 송파구 거마로 99 (마천동) ,02-402-1005,02-402-1240,개인,9,2019-02-22
노인요양공동생활가정,가족사랑요양원,박동서,"서울특별시 송파구 오금로36길 57 (가락동, 가락골 75번지 2층)",02-403-0311,02-401-0213,개인,9,2019-02-22
노인요양공동생활가정,가락사랑요양원,성보윤,"서울특별시 송파구 오금로36길 57 (가락동, 가락골 75번지 3층)",02-403-0311,02-401-0213,개인,9,2019-02-22
노인요양공동생활가정,포도나무실버타운송파1호점,황미애,"서울특별시 송파구 가락로 2 (석촌동, 6층)",02-413-1147,02-413-1148,개인,9,2019-02-22
노인요양공동생활가정,포도나무실버타운송파2호점,조아라,"서울특별시 송파구 가락로 2 (석촌동, 6층)",02-413-1147,02-413-1148,개인,7,2019-02-22
노인요양공동생활가정,포도나무실버타운송파3호점,홍순식,"서울특별시 송파구 가락로 2 (석촌동, 5층)",02-420-1286,02-413-1148,개인,9,2019-02-22
노인요양공동생활가정,포도나무실버타운송파4호점,현나영,"서울특별시 송파구 가락로 2 (석촌동, 5층)",02-420-1286,02-413-1148,개인,7,2019-02-22
노인요양공동생활가정,에덴실버요양원,장미화,서울특별시 송파구 송이로 198-1 (문정동),02-407-1768,02-409-5588,개인,8,2019-02-22
재가노인복지시설,구립송파버들데이케어센터,,서울특별시 송파구 충민로 184 (장지동) ,02-409-1617,02-415-3325,조계종,29,2019-02-22
재가노인복지시설,마천데이케어센터,김선화,"서울특별시 송파구 마천로65길 4, 1층(마천종합사회복지관)",02-449-3141,02-443-2194,조계종,17,2019-02-22
재가노인복지시설,민들레데이케어센터,이성희,서울특별시 송파구 성내천로 193 (마천동),02-448-0166,02-448-0168,청암,23,2019-02-22
재가노인복지시설,송파노인복지센터(연꽃마을),정윤정,서울특별시 송파구 백제고분로 41길 19-24 (송파동),02-2202-3677,02-2202-3679,연꽃마을,14,2019-02-22
재가노인복지시설,송파데이케어센터,,서울특별시 송파구 백제고분로 32길 41 (삼전동) ,02-3431-6736,02-2203-9421,청암,34,2019-02-22
재가노인복지시설,송파문정데이케어센터,홍준기,서울특별시 송파구 동남로 4길 36 (문정동) ,02-403-3677,02-2202-3679,연꽃마을,40,2019-02-22
재가노인복지시설,참사랑데이케어센터,최신영,서울특별시 송파구 마천로 89 (오금동),02-3401-5158,02-6442-8002,신원,17,2019-02-22
재가노인복지시설,풍납데이케어센터,엄보경,서울특별시 송파구 강동대로 3길 5 (풍납동) ,02-473-1227,02-473-7733,다산복지회,30,2019-02-22
재가노인복지시설,수실버간호센터,이천우,서울특별시 송파구 성내천로 212 (마천동),02-448-8400,02-440-8400,개인,9,2019-02-22
재가노인복지시설,수실버주야간보호센터,유지원,서울특별시 송파구 성내천로 212 (마천동),02-448-8400,02-440-8400,개인,9,2019-02-22
재가노인복지시설,은빛노인요양전문기관,박미선,서울특별시 송파구 거마로 99 (마천동) ,02-402-1005,02-402-1240,개인,9,2019-02-22
재가노인복지시설,훼밀리데이케어센터,정광현,"서울특별시 송파구 문정동 150-30, 3층",02-400-9506,02-400-9507,개인,38,2019-02-22
재가노인복지시설,잠실데이케어센터,김영민,서울특별시 송파구 백제고분로449(방이동),02-420-2838,02-425-0086,개인,52,2019-02-22
재가노인복지시설,희나리데이케어센터,박영철,"서울특별시 송파구 백제고분로 42길 5, 5층(송파동)",02-413-3462,02-413-3464,송파구 시설관리공단,28,2019-02-22
재가노인복지시설,행복케어,김진영,"서울특별시 송파구 거마로61, 5층(마천동 한스어반타워)",02-508-3870,02-449-3870,개인,53,2019-02-22
재가노인복지시설,신효데이케어앤드 주식회사,박성태,"서울특별시 송파구 가락로 45, 3층 4층(석촌동)",02-486-4578,02-476-4787,개인,28,2019-02-22
재가노인복지시설,A플러스잠실데이케어센터,김규형,"서울특별시 송파구 백제고분로 235,2 층",02-2202-2235,02-2202-2242,A플러스강남협동조합,40,2019-02-22
재가노인복지시설,송파 365데이케어센터,윤차영,"서울특별시 송파구 거마로 12, 2층",02-409-2388,02-2043-1277,닮복지재단,17,2019-02-22
재가노인복지시설,은빛노인요양단기보호1,강정숙,서울특별시 송파구 거마로 99 (마천동) ,02-402-1005,02-402-1240,개인,19,2019-02-22
재가노인복지시설,은빛노인요양단기보호2,진난주,서울특별시 송파구 거마로 99 (마천동) ,02-402-1005,02-402-1240,개인,24,2019-02-22
재가노인복지시설,가족사랑단기보호센터,성보윤,"서울특별시 송파구 오금로36길 57(가락동, 2층)",070-4814-0450,070-8280-0451,개인,8,2019-02-22
경로당,풍납제1,최영주,서울특별시 송파구 풍성로 67 ,02-483-0556,,구립,30,2019-02-22
경로당,풍성,정화자,서울특별시 송파구 풍성로25길 21-9,02-488-4150,,구립,30,2019-02-22
경로당,풍납제2,최병태,서울특별시 송파구 바람드리9길 18-1,02-485-0788,,사립(주택형),41,2019-02-22
경로당,동아한가람,김득춘,서울특별시 송파구 한가람로 448 ,02-474-7304,,사립,25,2019-02-22
경로당,씨티극동아파트,이순자,서울특별시 송파구 한가람로 478 ,02-478-6916,,사립,52,2019-02-22
경로당,신성노바빌,방학식,서울특별시 송파구 한가람로 468 ,02-6287-1254,,사립,29,2019-02-22
경로당,토성,홍천균,서울특별시 송파구 토성로 19길 37 ,02-484-3568,,구립,23,2019-02-22
경로당,풍납현대,신상을,서울특별시 송파구 올림픽로 525 ,02-475-6238,,사립,20,2019-02-22
경로당,극동,전영대,서울특별시 송파구 올림픽로45길 11 ,02-470-5451,,사립,15,2019-02-22
경로당,쌍용(아),정두성,서울특별시 송파구 올림픽로47길 9,02-471-7757,,사립,16,2019-02-22
경로당,한강극동,황윤의,서울특별시 송파구 토성로 38-6,02-478-4652,,사립,21,2019-02-22
경로당,풍산,노용덕,서울특별시 송파구 토성로 37 ,02-475-6485,,사립(주택형),30,2019-02-22
경로당,풍납2미성(아),남승례,서울특별시 송파구 풍성로 14 ,02-486-9071,,사립,40,2019-02-22
경로당,대아(아),김만수,서울특별시 송파구 풍성로 52 ,02-473-2750,,사립,31,2019-02-22
경로당,송파현대힐스테이트,안기운,서울특별시 송파구 풍성로26길 31,02-487-2238,,사립,33,2019-02-22
경로당,해모로,박순섭,서울특별시 송파구 풍성로26길 47,02-477-2379,,사립,32,2019-02-22
경로당,거여,유운영,서울특별시 송파구 오금로 476-12,02-448-3146,,구립,69,2019-02-22
경로당,영풍,박흥섭,서울특별시 송파구 오금로51길 20,02-449-7222,,구립,67,2019-02-22
경로당,거여현대3차,이종규,서울특별시 송파구 거마로 43 ,02-430-1432,,사립,27,2019-02-22
경로당,우방1차(아),김옥주,서울특별시 송파구 오금로56길 16 ,02-404-1243,,사립,22,2019-02-22
경로당,현대1차(아),전복녀,서울특별시 송파구 오금로54길 10 ,02-431-6475,,사립,24,2019-02-22
경로당,어울림(아),안부자,서울특별시 송파구 오금로56길 28 ,02-449-4472,,사립,28,2019-02-22
경로당,삼호,이병우,서울특별시 송파구 거마로9길 19 ,02-443-1522,,사립,22,2019-02-22
경로당,거여새마을,고제준,서울특별시 송파구 오금로62길 13-3 ,02-448-5929,,구립,83,2019-02-22
경로당,현대2차,박정희,서울특별시 송파구 오금로61길 20 ,02-430-9769,,사립,30,2019-02-22
경로당,거여1단지,신정자,서울특별시 송파구 양산로8길 8,02-400-0952,,사립,23,2019-02-22
경로당,동아효성,김덕균,서울특별시 송파구 양산로8길 18,02-431-7225,,사립,25,2019-02-22
경로당,거여3단지,김귀령,서울특별시 송파구 양산로2길 44 ,02-409-7205,,사립,35,2019-02-22
경로당,거여4단지,송중생,서울특별시 송파구 양산로8길 18 ,02-431-3050,,사립,15,2019-02-22
경로당,거여5단지,박종금,서울특별시 송파구 양산로4길 16 ,02-403-7234,,사립,22,2019-02-22
경로당,거여6단지,권복례,서울특별시 송파구 양산로2길 38 ,02-449-3038,,사립,20,2019-02-22
경로당,신마천,권명도,서울특별시 송파구 성내천로43마길 11-1 ,02-400-1162,,구립,40,2019-02-22
경로당,마천제일,정재구,서울특별시 송파구 마천로65길 12 ,02-400-9395,,구립,41,2019-02-22
경로당,장수,최영표,서울특별시 송파구 성내천로 318 ,02-408-2126,,구립,31,2019-02-22
경로당,웃마을,박찬열,서울특별시 송파구 마천로61마길 12-20 ,02-430-8611,,구립,41,2019-02-22
경로당,산성,전상직,서울특별시 송파구 성내천로55길 16 ,02-401-4803,,구립,50,2019-02-22
경로당,송파보훈,김기권,서울특별시 송파구 성내천길 306,02-419-6205,,구립,51,2019-02-22
경로당,금호,정혜숙,서울특별시 송파구 마천로57길 16 ,02-404-0051,,사립,22,2019-02-22
경로당,금호어울림,어숙,서울특별시 송파구 성내천로 314 ,02-400-2965,,사립,32,2019-02-22
경로당,송파파크데일1단지,최시준,서울특별시 송파구 성내천로37길 37,02-400-1331,,사립,26,2019-02-22
경로당,송파파크데일2단지,김상동,서울특별시 송파구 성내천로47길 38 ,02-408-0199,,사립,37,2019-02-22
경로당,마천,최외순,서울특별시 송파구 성내천로38길 4,02-431-4917,,구립,52,2019-02-22
