복지유형,시설명,소재지도로명주소,홈페이지,운영주체,대표자,전화번호,설립년도,기준일자
정신요양,서울정신요양원,경기도양주시 장흥면 가마골로 258번길 122 ,http://www.seoul3300.or.kr/,성람재단,송승섭,031-826-3300,1984,2018-10-23
장애인거주,문혜장애인요양원,강원도 철원군 갈말읍 텃골1길 13 ,http://www.munhye92.or.kr/,성람재단,이재용,033-452-7881,1992,2018-10-23
장애인거주,은혜장애인요양원,강원도 철원군 갈말읍 텃골1길 19,http://www.eunhye1004.org/,성람재단,이정희,033-452-6161,1995,2018-10-23
장애인거주,라파엘의집 단기거주시설,서울특별시 종로구 필운대로2길 16,http://www.raphayel.org/,하상복지회,오옥자,02-739-7020,2004,2018-10-23
장애인거주,덕유린 단기거주시설,서울특별시 종로구 지봉로12가길 49 101호,http://cafe.daum.net/guardiangeldyl,(사)한국장애인부모회,최선미,02-2235-1445,2012,2018-10-23
장애인거주,임마누엘 혜화공동체,서울특별시 종로구 평창12길 8-18 자유빌라 202호,,기쁜우리월드,권오은,02-765-3831,2008,2018-10-23
장애인거주,마로니에 공동생활가정,서울특별시 종로구 혜화로12길 20-10 101호 ,,서울가톨릭사회복지회,최금난,02-744-9026,2009,2018-10-23
장애인직업재활,문혜장애인 보호작업장,강원도 철원군 갈말읍 텃골1길 13 ,,성람재단,이재용,033-452-6164,1997,2018-10-23
장애인직업재활,더해봄(종로구립장애인 근로사업장),서울특별시 종로구 대학로3길 14,,한국지체장애인협회,정년숙,02-745-8708,1997,2018-10-23
장애인직업재활,비둘기보호작업장,서울특별시 종로구 동숭4길 28 1층,,서울가톨릭사회복지회,최금난,02-743-9026,1981,2018-10-23
장애인지역사회재활시설,종로장애인복지관,서울특별시 종로구 자하문로 89,http://jpurme.org/main/,재단법인푸르메,이학준,02-6395-7061,2012,2018-10-23
장애인지역사회재활시설,종로수화통역센터,서울특별시 종로구 종로5길 31 2층,,한국농아인협회,김용주,02-730-5563,2010,2018-10-23
장애인지역사회재활시설,비둘기주간보호시설,서울특별시 종로구 동숭4길 28 2층,http://happylog.naver.com/bidulgi,서울가톨릭사회복지회,최금난,02-766-9026,2002,2018-10-23
장애인지역사회재활시설,라파엘주간보호시설,서울특별시 종로구 필운대로9나길 15-4,http://www.raphayel.org/,하상복지회,오옥자,02-739-7024,1998,2018-10-23
