시군명,사업장명,인허가일자,영업상태명,자격소유인원수(명),총인원수(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
가평군,가평군 수화통역센터,20131123,운영중,1,3,,경기도 가평군 가평읍,,37.8477015250,127.4521560516
고양시,고양시수어통역센터,20020531,운영중,0,5,경기도 고양시 일산서구 고양대로672번길 15-7,경기도 고양시 일산서구 일산동 627-4번지,10353,37.6834564837,126.7711281298
과천시,과천시수어통역센터,20040324,운영중,4,5,,경기도 과천시 문원동 보훈종합회관2층 211호,,37.4274339713,127.0196028143
광명시,광명시수어통역센터,20020725,운영중,3,5,,경기도 광명시 하안동 1304동 207호,,37.4547083208,126.8642971343
광주시,광주시 수어통역센터,20051114,운영중,3,4,,경기도 광주시 송정동 태종빌딩 302호,,37.4306611445,127.2380345889
구리시,구리시수어통역센터,20060108,운영중,0,3,,경기도 구리시 교문동 구리시장애인근로복지센터,,37.5915609604,127.1322883567
군포시,군포시 수화통역센터,20020521,운영중,4,5,경기도 군포시 산본로 329,경기도 군포시 산본동 1126번지,15865,37.3599469336,126.9330333513
김포시,김포시 수화통역센터,20040326,운영중,4,5,,경기도 김포시 걸포동,,37.6388321681,126.6963316671
남양주시,남양주시수어통역센터,20040322,운영중,4,997,경기도 남양주시 금곡로 58,경기도 남양주시 금곡동 은하빌딩,12237,37.6339769946,127.2095354176
동두천시,동두천시 수어통역센터,20030127,운영중,2,5,경기도 동두천시 동광로 174,경기도 동두천시 보산동 387-1번지,11310,37.9154928023,127.0604816271
부천시,부천시수어통역센터,20020101,운영중,0,0,경기도 부천시 상이로39번길 7-20,경기도 부천시 상동 602-11번지,14593,37.4919041871,126.7430226901
성남시,성남시수어통역센터,20020528,운영중,1,3,경기도 성남시 수정구 수정남로 10,경기도 성남시 수정구 수진동 3042번지 306호,13319,37.4389455870,127.1291776382
시흥시,시흥시수화통역센터,19981228,운영중,0,4,,경기도 시흥시 정왕동 화신오피스텔 205호,,37.3276960975,126.6942604570
안산시,안산시수어통역센터,20020525,운영중,0,0,,경기도 안산시 상록구 사동 안산시장애인지원센터 302호,,37.2986632641,126.8308158801
안성시,안성시수어통역센터,20030527,운영중,3,4,경기도 안성시 중앙로451번길 11,경기도 안성시 봉남동 4번지,17590,37.0068044348,127.2764282205
안양시,안양시수화통역센터,20020521,운영중,4,5,경기도 안양시 만안구 안양로384번길 44,경기도 안양시 만안구 안양동 846-16번지 2층,13990,37.4053028259,126.9177549185
양주시,양주시수어통역센터,20051222,운영중,2,4,,경기도 양주시 덕정동,,37.8565702360,127.0634810545
양평군,양평군수어통역센터,20040330,운영중,1,3,,경기도 양평군 양평읍 공흥리,,37.4963749378,127.5009410395
양평군,양평군수화통역센터,20080912,운영중,2,3,경기도 양평군 양평읍 시민로 114-1,경기도 양평군 양평읍 공흥리 402-8번지 보문정사 2층,12560,37.4901351008,127.5042578470
여주시,여주시수화통역센터,20050425,운영중,3,5,,경기도 여주시 교동,,37.2900836103,127.6295361033
연천군,연천군 수화통역센터,20100309,운영중,3,,,경기도 연천군 전곡읍 전곡리,,38.0308241474,127.0689661643
오산시,오산시수어통역센타,20030217,운영중,0,3,경기도 오산시 경기동로 15,경기도 오산시 오산동 49번지,18131,37.1571965211,127.0738044932
용인시,용인시 수어통역센터,20030624,운영중,4,1,,경기도 용인시 처인구 김량장동 3층,,37.2277380745,127.2013567490
의왕시,의왕시수어통역센터,20060120,운영중,0,3,,경기도 의왕시 고천동,,37.3481642506,127.0039879921
의정부시,의정부시수어통역센터,20000201,운영중,0,4,경기도 의정부시 경의로85번길 6-19,경기도 의정부시 의정부동 580-6번지,11652,37.7334273821,127.0460125945
이천시,이천시수화통역센터,20020624,운영중,4,4,경기도 이천시 부악로 40,경기도 이천시 중리동 490번지 별관 부악관 203호,17379,37.2716022670,127.4343015989
파주시,파주시수어통역센터,20050106,운영중,3,4,경기도 파주시 시청로 25,경기도 파주시 금촌동 광우프라자 302호,10929,37.7590652653,126.7759877520
평택시,평택시수어통역센터,20020510,운영중,2,4,경기도 평택시 조개터로2번길 41,경기도 평택시 합정동 936-3번지,17915,36.9866860673,127.1031421059
포천시,포천시수어통역센터,20050202,운영중,0,5,경기도 포천시 신북면 호국로 2044,경기도 포천시 신북면 884번지,11139,37.9319082627,127.2261317459
하남시,하남시수어통역센터,20030619,운영중,0,5,경기도 하남시 검단로19번길 27,경기도 하남시 하산곡동 69-1번지,13024,37.5235454781,127.2236197526
화성시,화성시 수어통역센터,20030603,운영중,0,4,,경기도 화성시 향남읍 도이리 아르딤복지관 장애인단체 및 센터동 203호,,37.1384157301,126.9429166384

