시도,시군구,시설명,시설유형,시설종류,영업상태,주소,전화번호
인천광역시,남동구,남동장애인종합복지관,장애인지역사회재활시설,장애인복지관,운영,인천광역시 남동구 인주대로 898 (만수동),032-472-4004
인천광역시,남동구,하늘고운주간보호센터,장애인지역사회재활시설,장애인주간보호시설,운영,인천광역시 남동구 경인로 744 (간석동),032-508-2097
인천광역시,남동구,늘푸른동산,장애인지역사회재활시설,장애인주간보호시설,운영,인천광역시 남동구 담방서로23번길 17 (만수동),032-472-4031
인천광역시,남동구,바다의별,장애인지역사회재활시설,장애인주간보호시설,운영,인천광역시 남동구 남촌동로16번길 15-12  1층 (남촌동),032-468-4647
인천광역시,남동구,샛별주간보호센터,장애인지역사회재활시설,장애인주간보호시설,운영,인천광역시 남동구 남촌동로3번길 소민빌딩,032-435-1147
인천광역시,남동구,동그라미발달장애인주간보호센터,장애인지역사회재활시설,장애인주간보호시설,운영,인천광역시 남동구 인주대로 819  201호 (구월동  문화빌딩),032-464-7179
인천광역시,남동구,인천광역시 장애인생활이동지원센터,장애인지역사회재활시설,장애인생활이동지원센터,운영,인천광역시 남동구 석산로 78  3층 (간석동),032-427-0822
인천광역시,남동구,인천수어통역센터,장애인지역사회재활시설,수어통역센터,운영,인천광역시 남동구 용천로 208  610호 (간석동 외 1필지 인천시사회복지회관),032-212-2776
인천광역시,남동구,하늘채,장애인거주시설,중증장애인거주시설,운영,인천광역시 남동구 장아산로200번길 8 (서창동),032-465-6640
인천광역시,남동구,기분좋은그룹홈2,장애인거주시설,장애인공동생활가정,운영,인천광역시 남동구 독곡로16번길 12-20  B동 401호 (서창동  필레오빌),032-468-3447
인천광역시,남동구,그룹홈안젤로,장애인거주시설,장애인공동생활가정,운영,인천광역시 남동구 남촌동로16번길 15-12  2층 (남촌동),032-256-0122
인천광역시,남동구,열린일터,장애인직업재활시설,장애인 보호작업장,운영,인천광역시 남동구 담방서로23번길 17 (만수동),032-468-7788
인천광역시,남동구,인천안마수련원,장애인직업재활시설,장애인 보호작업장,운영,인천광역시 남동구 구월로 235  2 (구월동),032-866-6300
인천광역시,남동구,해봄비,장애인직업재활시설,장애인 보호작업장,운영,인천광역시 남동구 소래로 500  1층 (수산동  남동체육관),032-461-0905
