시설명,시설유형,소재지,정원,입소인원,직원현원,설치 승인일,법인명,시설장,전화번호,FAX,
소망의집,정신요양시설,인천광역시 서구 심곡로 132번길 22(심곡동),128,75,21,1986.04.17,서천재단,김현창,032-563-2322,032-563-2351,
인정재활원,장애인거주시설,인천광역시 서구 서달로 123번안길 24(석남동),50,32,21,1970.06.13,인정재단,홍인식,032-574-0250,032-574-0255,
마전장애인공동생활가정,장애인거주시설,"인천광역시 서구 경명대로 698-4, B/201(공촌동, 대국빌라) ",5,4,1,2003.03.01,백십자사,임종학,032-568-8051,032-614-0603,
서구장애인공동생활가정,장애인거주시설,"인천광역시 서구 연희로 28번길 17-1,301호(연희동)",4,4,1,2006.07.26,지적장애인복지협회,정성기,032-566-5988,032-566-5988,
인정장애인공동생활가정1호,장애인거주시설,"인천광역시 서구 승학로 506번안길 57,103/203(검암동,해피하임빌)",4,4,1,2007.05.17,인정재단,김명화,032-563-8004,032-574-0255,
인정장애인공동생활가정2호,장애인거주시설,"인천광역시 서구 승학로 506번안길 57,103/303(검암동,해피하임빌)",4,4,1,2007.05.17,인정재단,김명화,032-563-8005,032-563-8005,
인정장애인공동생활가정3호,장애인거주시설,"인천광역시 서구 승학로 506번안길 57,103/202(검암동,해피하임빌)",4,4,1,2011.01.07,인정재단,김명화,032-567-7319,032-574-0255,
인정장애인공동생활가정5호,장애인거주시설,"인천광역시 서구 승학로 506번안길 57,103/302(검암동,해피하임빌)",4,4,1,2011.01.07,인정재단,김명화,032-567-7447,032-574-0255,
한원장애인공동생활가정,장애인거주시설,"인천광역시 서구 경명대로 698-4, A/102(공촌동, 대국빌라) ",4,4,1,2013.01.29,한원복지재단,강동현,070-7517-1347,070-8238-1348,
참빛장애인공동생활가정1호,장애인거주시설,"인천광역시 서구 여우재로86번길 4, 1층(가좌동)",4,4,1,2014.10.28,사단법인 참빛장애인복지원,이성동,032-575-7156,032-571-4226,
참빛장애인공동생활가정2호,장애인거주시설,"인천광역시 서구 여우재로86번길 4, 2층(가좌동)",4,1,1,2016.11.10,사단법인 참빛장애인복지원,이성동,032-575-7156,032-571-4226,
인정재활관,장애인직업재활시설,인천광역시 서구 서달로 123번안길 24(석남동),30,30,5,2006.10.23,인정재단,이용학,032-574-0457,032-583-4361,
예진원,장애인직업재활시설,인천광역시 서구 심곡로 124번길 10(심곡동),30,27,5,1990.03.02,감리회태화복지재단,김광배,032-568-3276/070-8915-3301,032-568-3267,
두드림보호작업장,장애인직업재활시설,인천광역시 서구 드림로 284-8(백석동),30,30,5,2010.09.14,기독교대한감리회사회복지재단,김중기,032-569-1267,032-569-1268,
서구구립장애인직업재활시설,장애인직업재활시설,인천광역시 서구 마중1로  12(오류동),70,46,19,2014.05.30,인천광역시 서구 시설관리공단,윤호,032-569-7452,032-569-7454,
지심퍼니처,장애인직업재활시설,"인천 서구 보듬로158, 공존238호(오류동, 블루텍)",20,10,3,2017.02.03,사회적협동조합 지심,이충진,032-568-1254,,
그린페이퍼,장애인직업재활시설,"인천 서구 보듬로 158, 공존동 104~106호 (오류동)",10,10,3,2017.02.24,사회적협동조합 일원,김민수,032-551-1650,,
서구장애인종합복지관(재가복지센터),장애인지역사회재활시설,인천광역시 서구 드림로 284-8(백석동),0,0,28,2006.02.21,기독교대한감리회사회복지재단,이덕호,032-569-1240,032-569-1243,
서구장애인주간보호센터,장애인지역사회재활시설,인천광역시 서구 드림로 284-8(백석동),15,15,3,2006.02.21,기독교대한감리회사회복지재단,이덕호,032-569-1244,032-569-1243,
태화인천장애인주간보호센터,장애인지역사회재활시설,인천광역시 서구 심곡로 124번길 10(심곡동),20,15,4,2003.05.07,감리회태화복지재단,양미희,032-568-3247,032-568-3271,
느티나무,장애인지역사회재활시설,인천광역시 서구 심곡로 100번길 8-11(심곡동),15,15,4,2011.12.23,한원복지재단,강동현,070-8633-8246,070-7500-0601,
